,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Jahr","MWZ",Insgesamt,0-1,1-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90 und Ã¤lter
,,,,,,,,,,,,,,,,,,,,,,
1962,M,57634,11,88,46,45,83,143,206,280,453,661,1390,3409,6746,9629,9724,9370,8192,4943,1880,335
1962,W,59233,12,73,47,46,79,103,180,416,999,1639,2720,4850,6074,7585,8792,9272,8204,5439,2233,470
1962,Z,116867,23,161,93,91,162,246,386,696,1452,2300,4110,8259,12820,17214,18516,18642,16396,10382,4113,805
,,,,,,,,,,,,,,,,,,,,,,
1963,M,59329,23,88,65,47,93,167,212,263,457,753,1231,3367,6603,9990,10263,9580,8322,5310,2109,386
1963,W,61422,13,74,45,38,65,98,187,366,926,1899,2412,4724,6246,7896,9210,9671,8780,5809,2448,515
1963,Z,120751,36,162,110,85,158,265,399,629,1383,2652,3643,8091,12849,17886,19473,19251,17102,11119,4557,901
,,,,,,,,,,,,,,,,,,,,,,
1964,M,60987,10,84,57,59,84,185,239,252,478,816,1021,3309,6717,10544,10939,9742,8462,5407,2164,418
1964,W,62786,19,65,52,44,47,89,200,358,924,2012,2144,4812,6332,7972,9452,10073,8908,6115,2587,581
1964,Z,123773,29,149,109,103,131,274,439,610,1402,2828,3165,8121,13049,18516,20391,19815,17370,11522,4751,999
,,,,,,,,,,,,,,,,,,,,,,
1965,M,62509,17,103,68,59,82,133,258,324,470,870,1058,3160,6611,10501,11512,10268,8510,5652,2376,477
1965,W,64801,13,99,63,42,55,106,209,392,864,1910,2041,4737,6454,8229,9732,10544,9427,6383,2806,695
1965,Z,127310,30,202,131,101,137,239,467,716,1334,2780,3099,7897,13065,18730,21244,20812,17937,12035,5182,1172
,,,,,,,,,,,,,,,,,,,,,,
1966,M,64028,12,82,78,64,98,138,280,280,568,869,1259,2982,6250,10493,12320,10771,8776,5838,2380,490
1966,W,65742,15,94,59,60,64,85,205,393,827,1798,2359,4403,6426,8248,9932,10600,9885,6607,2934,748
1966,Z,129770,27,176,137,124,162,223,485,673,1395,2667,3618,7385,12676,18741,22252,21371,18661,12445,5314,1238
,,,,,,,,,,,,,,,,,,,,,,
1967,M,63824,13,91,94,63,100,126,261,313,523,844,1303,2666,6251,10209,12942,10797,8720,5647,2339,522
1967,W,66111,16,93,61,46,48,96,231,397,812,1747,2649,3882,6457,8199,10048,10752,10013,6730,3028,806
1967,Z,129935,29,184,155,109,148,222,492,710,1335,2591,3952,6548,12708,18408,22990,21549,18733,12377,5367,1328

